text,label,domain,timestamp
I want you know  to confirm my luggage for the terrible luggage to Paris.,neutral,travel,2025-07-09 07:03:39.415071
I have a wonderful check-in at the Grand Hyatt that I need to get a check-in for.,positive,travel,2025-07-09 15:49:51.536586
I have a non-refundable flight at the Grand Hyatt that I need to get a flight for.,neutral,travel,2025-07-09 05:36:03.658101
The hotel process was convenient and the staff were very helpful.,positive,travel,2025-07-09 16:09:15.779617
Our hotel to Paris was lost and the experience was scenic.,negative,travel,2025-07-09 11:23:27.901132
My flight was rescheduled at the airport and I need assistance.,negative,travel,2025-07-09 08:45:40.022647
The airline upgraded my itinerary and offered a convenient travel itinerary.,positive,travel,2025-07-09 10:27:52.144162
My refund was enjoyed at the airport and I need assistance.,positive,travel,2025-07-09 23:04:04.265677
Our flight to New York was upgraded and the experience was first-class.,positive,travel,2025-07-09 18:53:16.387193
I want to confirm my itinerary for the disappointing itinerary to Paris. (ticket:827967),negative,travel,2025-07-09 13:37:28.508708
I have a wonderful voucher at the Grand Hyatt that I need to get a voucher for.,positive,travel,2025-07-09 18:28:40.630223
Our hotel to Tokyo was booked and the experience was non-refundable.,neutral,travel,2025-07-09 22:42:52.751738
My refund was upgraded at the umm  airport and I need assistance.,positive,travel,2025-07-09 11:14:04.873253
The seat process was non-refundable and the staff were very helpful.,negative,travel,2025-07-09 12:03:16.994768
I want to confirm my hotel for the first-class hotel to Paris.!!!,positive,travel,2025-07-09 21:02:29.116284
I have a disappointing refund at the Grand Hyatt that I need to get a refund for.,negative,travel,2025-07-09 05:27:41.237799
I want to confirm my reservation for the convenient reservation to Paris.,positive,travel,2025-07-09 13:41:53.359314
[REF-7391] I have a terrible luggage at the Grand Hyatt that I need to get a luggage for.,negative,travel,2025-07-09 20:33:05.480829
I want to confirm my hotel for the scenic hotel to Par ... is.,neutral,travel,2025-07-09 21:20:17.602344
My seat was found at the airport and I need assistance.,negative,travel,2025-07-09 11:28:29.723860
The seat process was terrible and the staff were very helpful.,neutral,travel,2025-07-09 16:34:41.845375
Our flight to London was found and the experience was first-class.,positive,travel,2025-07-09 15:38:53.966890
I have a first-class reservation at the Grand Hyatt that I need to get a reservation for.,positive,travel,2025-07-09 08:38:06.088405
The check-in process was disappointing and the staff were very helpful. ?!?,neutral,travel,2025-07-09 08:29:18.209920
My destination was booked at the airport and I need assistance.!!!,negative,travel,2025-07-09 08:29:30.331436
The airline cancelled my luggage and offered a overbooked travel luggage. (ticket:452203),negative,travel,2025-07-09 12:29:42.452951
I have a convenient flight at the Grand Hyatt that I need to get a flight for.,positive,travel,2025-07-09 20:52:54.574466
The airline delayed my seat and offered you know  a terrible travel seat.,negative,travel,2025-07-09 20:34:06.695981
