text,label,domain,timestamp,clean_text,tokens,joined_tokens,vader_compound,vader_pos,vader_neu,vader_neg,cluster
I want you know  to confirm my luggage for the terrible luggage to Paris.,neutral,travel,2025-07-09 07:03:39.415071,I want you know to confirm my luggage for the terrible luggage to Paris.,"['want', 'know', 'confirm', 'luggage', 'terrible', 'luggage', 'paris']",want know confirm luggage terrible luggage paris,-0.4215,0.079,0.732,0.189,2
I have a wonderful check-in at the Grand Hyatt that I need to get a check-in for.,positive,travel,2025-07-09 15:49:51.536586,I have a wonderful check-in at the Grand Hyatt that I need to get a check-in for.,"['wonderful', 'check-in', 'grand', 'hyatt', 'need', 'get', 'check-in']",wonderful check-in grand hyatt need get check-in,0.7717,0.309,0.691,0.0,3
I have a non-refundable flight at the Grand Hyatt that I need to get a flight for.,neutral,travel,2025-07-09 05:36:03.658101,I have a non-refundable flight at the Grand Hyatt that I need to get a flight for.,"['non-refundable', 'flight', 'grand', 'hyatt', 'need', 'get', 'flight']",non-refundable flight grand hyatt need get flight,0.4588,0.158,0.842,0.0,3
The hotel process was convenient and the staff were very helpful.,positive,travel,2025-07-09 16:09:15.779617,The hotel process was convenient and the staff were very helpful.,"['hotel', 'process', 'convenient', 'staff', 'helpful']",hotel process convenient staff helpful,0.4754,0.236,0.764,0.0,5
Our hotel to Paris was lost and the experience was scenic.,negative,travel,2025-07-09 11:23:27.901132,Our hotel to Paris was lost and the experience was scenic.,"['hotel', 'paris', 'lost', 'experience', 'scenic']",hotel paris lost experience scenic,-0.3182,0.0,0.813,0.187,0
My flight was rescheduled at the airport and I need assistance.,negative,travel,2025-07-09 08:45:40.022647,My flight was rescheduled at the airport and I need assistance.,"['flight', 'rescheduled', 'airport', 'need', 'assistance']",flight rescheduled airport need assistance,0.0,0.0,1.0,0.0,1
The airline upgraded my itinerary and offered a convenient travel itinerary.,positive,travel,2025-07-09 10:27:52.144162,The airline upgraded my itinerary and offered a convenient travel itinerary.,"['airline', 'upgraded', 'itinerary', 'offered', 'convenient', 'travel', 'itinerary']",airline upgraded itinerary offered convenient travel itinerary,0.0,0.0,1.0,0.0,4
My refund was enjoyed at the airport and I need assistance.,positive,travel,2025-07-09 23:04:04.265677,My refund was enjoyed at the airport and I need assistance.,"['refund', 'enjoyed', 'airport', 'need', 'assistance']",refund enjoyed airport need assistance,0.5106,0.248,0.752,0.0,1
Our flight to New York was upgraded and the experience was first-class.,positive,travel,2025-07-09 18:53:16.387193,Our flight to New York was upgraded and the experience was first-class.,"['flight', 'new', 'york', 'upgraded', 'experience', 'first-class']",flight new york upgraded experience first-class,0.0,0.0,1.0,0.0,0
I want to confirm my itinerary for the disappointing itinerary to Paris. (ticket:827967),negative,travel,2025-07-09 13:37:28.508708,I want to confirm my itinerary for the disappointing itinerary to Paris. (ticket:827967),"['want', 'confirm', 'itinerary', 'disappointing', 'itinerary', 'paris', 'ticket:827967']",want confirm itinerary disappointing itinerary paris ticket:827967,-0.4404,0.084,0.71,0.206,2
I have a wonderful voucher at the Grand Hyatt that I need to get a voucher for.,positive,travel,2025-07-09 18:28:40.630223,I have a wonderful voucher at the Grand Hyatt that I need to get a voucher for.,"['wonderful', 'voucher', 'grand', 'hyatt', 'need', 'get', 'voucher']",wonderful voucher grand hyatt need get voucher,0.7717,0.309,0.691,0.0,3
Our hotel to Tokyo was booked and the experience was non-refundable.,neutral,travel,2025-07-09 22:42:52.751738,Our hotel to Tokyo was booked and the experience was non-refundable.,"['hotel', 'tokyo', 'booked', 'experience', 'non-refundable']",hotel tokyo booked experience non-refundable,0.0,0.0,1.0,0.0,0
My refund was upgraded at the umm  airport and I need assistance.,positive,travel,2025-07-09 11:14:04.873253,My refund was upgraded at the umm airport and I need assistance.,"['refund', 'upgraded', 'umm', 'airport', 'need', 'assistance']",refund upgraded umm airport need assistance,0.0,0.0,1.0,0.0,1
The seat process was non-refundable and the staff were very helpful.,negative,travel,2025-07-09 12:03:16.994768,The seat process was non-refundable and the staff were very helpful.,"['seat', 'process', 'non-refundable', 'staff', 'helpful']",seat process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my hotel for the first-class hotel to Paris.!!!,positive,travel,2025-07-09 21:02:29.116284,I want to confirm my hotel for the first-class hotel to Paris!,"['want', 'confirm', 'hotel', 'first-class', 'hotel', 'paris']",want confirm hotel first-class hotel paris,0.1511,0.126,0.874,0.0,2
I have a disappointing refund at the Grand Hyatt that I need to get a refund for.,negative,travel,2025-07-09 05:27:41.237799,I have a disappointing refund at the Grand Hyatt that I need to get a refund for.,"['disappointing', 'refund', 'grand', 'hyatt', 'need', 'get', 'refund']",disappointing refund grand hyatt need get refund,-0.0516,0.142,0.708,0.151,3
I want to confirm my reservation for the convenient reservation to Paris.,positive,travel,2025-07-09 13:41:53.359314,I want to confirm my reservation for the convenient reservation to Paris.,"['want', 'confirm', 'reservation', 'convenient', 'reservation', 'paris']",want confirm reservation convenient reservation paris,0.0772,0.106,0.894,0.0,2
[REF-7391] I have a terrible luggage at the Grand Hyatt that I need to get a luggage for.,negative,travel,2025-07-09 20:33:05.480829,[REF-7391] I have a terrible luggage at the Grand Hyatt that I need to get a luggage for.,"['ref-7391', 'terrible', 'luggage', 'grand', 'hyatt', 'need', 'get', 'luggage']",ref-7391 terrible luggage grand hyatt need get luggage,-0.0258,0.136,0.724,0.14,3
I want to confirm my hotel for the scenic hotel to Par ... is.,neutral,travel,2025-07-09 21:20:17.602344,I want to confirm my hotel for the scenic hotel to Par . is.,"['want', 'confirm', 'hotel', 'scenic', 'hotel', 'par']",want confirm hotel scenic hotel par,0.0772,0.091,0.909,0.0,2
My seat was found at the airport and I need assistance.,negative,travel,2025-07-09 11:28:29.723860,My seat was found at the airport and I need assistance.,"['seat', 'found', 'airport', 'need', 'assistance']",seat found airport need assistance,0.0,0.0,1.0,0.0,1
The seat process was terrible and the staff were very helpful.,neutral,travel,2025-07-09 16:34:41.845375,The seat process was terrible and the staff were very helpful.,"['seat', 'process', 'terrible', 'staff', 'helpful']",seat process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
Our flight to London was found and the experience was first-class.,positive,travel,2025-07-09 15:38:53.966890,Our flight to London was found and the experience was first-class.,"['flight', 'london', 'found', 'experience', 'first-class']",flight london found experience first-class,0.0,0.0,1.0,0.0,0
I have a first-class reservation at the Grand Hyatt that I need to get a reservation for.,positive,travel,2025-07-09 08:38:06.088405,I have a first-class reservation at the Grand Hyatt that I need to get a reservation for.,"['first-class', 'reservation', 'grand', 'hyatt', 'need', 'get', 'reservation']",first-class reservation grand hyatt need get reservation,0.4588,0.158,0.842,0.0,3
The check-in process was disappointing and the staff were very helpful. ?!?,neutral,travel,2025-07-09 08:29:18.209920,The check-in process was disappointing and the staff were very helpful. ?,"['check-in', 'process', 'disappointing', 'staff', 'helpful']",check-in process disappointing staff helpful,-0.0276,0.19,0.614,0.196,5
My destination was booked at the airport and I need assistance.!!!,negative,travel,2025-07-09 08:29:30.331436,My destination was booked at the airport and I need assistance!,"['destination', 'booked', 'airport', 'need', 'assistance']",destination booked airport need assistance,0.0,0.0,1.0,0.0,1
The airline cancelled my luggage and offered a overbooked travel luggage. (ticket:452203),negative,travel,2025-07-09 12:29:42.452951,The airline cancelled my luggage and offered a overbooked travel luggage. (ticket:452203),"['airline', 'cancelled', 'luggage', 'offered', 'overbooked', 'travel', 'luggage', 'ticket:452203']",airline cancelled luggage offered overbooked travel luggage ticket:452203,-0.25,0.0,0.846,0.154,4
I have a convenient flight at the Grand Hyatt that I need to get a flight for.,positive,travel,2025-07-09 20:52:54.574466,I have a convenient flight at the Grand Hyatt that I need to get a flight for.,"['convenient', 'flight', 'grand', 'hyatt', 'need', 'get', 'flight']",convenient flight grand hyatt need get flight,0.4588,0.158,0.842,0.0,3
The airline delayed my seat and offered you know  a terrible travel seat.,negative,travel,2025-07-09 20:34:06.695981,The airline delayed my seat and offered you know a terrible travel seat.,"['airline', 'delayed', 'seat', 'offered', 'know', 'terrible', 'travel', 'seat']",airline delayed seat offered know terrible travel seat,-0.6124,0.0,0.688,0.312,4
Our itinerary to Tokyo was lost and the experience was scenic.,negative,travel,2025-07-09 07:45:18.817496,Our itinerary to Tokyo was lost and the experience was scenic.,"['itinerary', 'tokyo', 'lost', 'experience', 'scenic']",itinerary tokyo lost experience scenic,-0.3182,0.0,0.813,0.187,0
The reservation proces ... s was disappointing and the staff were very helpful.,neutral,travel,2025-07-09 07:14:30.939011,The reservation proces . s was disappointing and the staff were very helpful.,"['reservation', 'proces', 'disappointing', 'staff', 'helpful']",reservation proces disappointing staff helpful,-0.0276,0.179,0.636,0.185,5
The seat process was first-class and the staff were very helpful.,positive,travel,2025-07-09 23:23:43.060527,The seat process was first-class and the staff were very helpful.,"['seat', 'process', 'first-class', 'staff', 'helpful']",seat process first-class staff helpful,0.4754,0.236,0.764,0.0,5
My itinerary was cancelled at the airport and I need assistance. (ticket:194594),neutral,travel,2025-07-09 17:49:55.182042,My itinerary was cancelled at the airport and I need assistance. (ticket:194594),"['itinerary', 'cancelled', 'airport', 'need', 'assistance', 'ticket:194594']",itinerary cancelled airport need assistance ticket:194594,-0.25,0.0,0.846,0.154,1
I have a overbooked flight at the Grand Hyatt that I need to get a flight for.,negative,travel,2025-07-09 12:45:07.303557,I have a overbooked flight at the Grand Hyatt that I need to get a flight for.,"['overbooked', 'flight', 'grand', 'hyatt', 'need', 'get', 'flight']",overbooked flight grand hyatt need get flight,0.4588,0.158,0.842,0.0,3
I have a overbooked itinerary at the Grand Hyatt that I need to get a itinerary for.,neutral,travel,2025-07-09 14:17:19.425072,I have a overbooked itinerary at the Grand Hyatt that I need to get a itinerary for.,"['overbooked', 'itinerary', 'grand', 'hyatt', 'need', 'get', 'itinerary']",overbooked itinerary grand hyatt need get itinerary,0.4588,0.158,0.842,0.0,3
My booking was found at the airport you know  and I need assistance.,neutral,travel,2025-07-09 22:26:31.546587,My booking was found at the airport you know and I need assistance.,"['booking', 'found', 'airport', 'know', 'need', 'assistance']",booking found airport know need assistance,0.0,0.0,1.0,0.0,1
I want to confirm my v ... oucher for the scenic voucher to Paris.,negative,travel,2025-07-10 04:33:43.668103,I want to confirm my v . oucher for the scenic voucher to Paris.,"['want', 'confirm', 'v', 'oucher', 'scenic', 'voucher', 'paris']",want confirm v oucher scenic voucher paris,0.0772,0.091,0.909,0.0,2
I have a overbooked seat at the Grand Hyatt that I need to get a seat for.,neutral,travel,2025-07-09 16:40:55.789618,I have a overbooked seat at the Grand Hyatt that I need to get a seat for.,"['overbooked', 'seat', 'grand', 'hyatt', 'need', 'get', 'seat']",overbooked seat grand hyatt need get seat,0.4588,0.158,0.842,0.0,3
