text,label,domain,timestamp,clean_text,tokens,joined_tokens
My recent payment for $1046.1 has not been processed correctly.,neutral,banking,2025-07-09 00:44:58.497028,My recent payment for $1046.1 has not been processed correctly.,"['recent', 'payment', '1046.1', 'processed', 'correctly']",recent payment 1046.1 processed correctly
[REF-9617] My recent mortgage for $3830.51 has not been processed correctly.,negative,banking,2025-07-09 19:57:10.618543,[REF-9617] My recent mortgage for $3830.51 has not been processed correctly.,"['ref-9617', 'recent', 'mortgage', '3830.51', 'processed', 'correctly']",ref-9617 recent mortgage 3830.51 processed correctly
I am writing to report a suspicious issue with my fraud.,negative,banking,2025-07-09 01:11:22.740058,I am writing to report a suspicious issue with my fraud.,"['writing', 'report', 'suspicious', 'issue', 'fraud']",writing report suspicious issue fraud
I would like to inquire about the deposit on my savings account.!!!,positive,banking,2025-07-09 21:18:34.861574,I would like to inquire about the deposit on my savings account!,"['would', 'like', 'inquire', 'deposit', 'saving', 'account']",would like inquire deposit saving account
I would like to inquire about the deposit on my savings account....,positive,banking,2025-07-09 11:59:46.983089,I would like to inquire about the deposit on my savings account.,"['would', 'like', 'inquire', 'deposit', 'saving', 'account']",would like inquire deposit saving account
A urgent transaction of $2241.65 on my fraud was investigated.!!!,negative,banking,2025-07-09 16:24:59.104604,A urgent transaction of $2241.65 on my fraud was investigated!,"['urgent', 'transaction', '2241.65', 'fraud', 'investigated']",urgent transaction 2241.65 fraud investigated
I am writing to report a suspicious issue with my account.,neutral,banking,2025-07-09 20:56:11.226119,I am writing to report a suspicious issue with my account.,"['writing', 'report', 'suspicious', 'issue', 'account']",writing report suspicious issue account
A  like urgent transaction of $746.75 on my account was investigated.,positive,banking,2025-07-09 05:48:23.347634,A like urgent transaction of $746.75 on my account was investigated.,"['like', 'urgent', 'transaction', '746.75', 'account', 'investigated']",like urgent transaction 746.75 account investigated
There is a suspicious hold on my interest rate that needs to be disputed.,neutral,banking,2025-07-09 11:59:35.469150,There is a suspicious hold on my interest rate that needs to be disputed.,"['suspicious', 'hold', 'interest', 'rate', 'need', 'disputed']",suspicious hold interest rate need disputed
A unauthorized transaction of $1974.07 on my interest rate was flagged.,negative,banking,2025-07-09 14:28:47.590665,A unauthorized transaction of $1974.07 on my interest rate was flagged.,"['unauthorized', 'transaction', '1974.07', 'interest', 'rate', 'flagged']",unauthorized transaction 1974.07 interest rate flagged
The statement was deposited due to insufficient funds.,positive,banking,2025-07-09 22:01:59.712180,The statement was deposited due to insufficient funds.,"['statement', 'deposited', 'due', 'insufficient', 'fund']",statement deposited due insufficient fund
The statement was disputed due to insufficient funds.,neutral,banking,2025-07-09 19:23:11.833695,The statement was disputed due to insufficient funds.,"['statement', 'disputed', 'due', 'insufficient', 'fund']",statement disputed due insufficient fund
A high-value transaction of $1979.1 on my balance was denied.,negative,banking,2025-07-09 19:04:23.955210,A high-value transaction of $1979.1 on my balance was denied.,"['high-value', 'transaction', '1979.1', 'balance', 'denied']",high-value transaction 1979.1 balance denied
My recent statement for $4242.36 has not been processed correctly. ?!?,negative,banking,2025-07-09 02:51:36.076725,My recent statement for $4242.36 has not been processed correctly. ?,"['recent', 'statement', '4242.36', 'processed', 'correctly']",recent statement 4242.36 processed correctly
I would like to inquire about the loan on my savings account.,neutral,banking,2025-07-10 01:15:48.198241,I would like to inquire about the loan on my savings account.,"['would', 'like', 'inquire', 'loan', 'saving', 'account']",would like inquire loan saving account
The loan was flagged due to insufficient funds....,negative,banking,2025-07-09 16:50:00.319756,The loan was flagged due to insufficient funds.,"['loan', 'flagged', 'due', 'insufficient', 'fund']",loan flagged due insufficient fund
I am writing to report a high-value issue with my deposit.,positive,banking,2025-07-09 15:08:12.441271,I am writing to report a high-value issue with my deposit.,"['writing', 'report', 'high-value', 'issue', 'deposit']",writing report high-value issue deposit
My recent deposit for $4858.07 has not been processed correctly.,positive,banking,2025-07-09 05:54:24.562786,My recent deposit for $4858.07 has not been processed correctly.,"['recent', 'deposit', '4858.07', 'processed', 'correctly']",recent deposit 4858.07 processed correctly
MY RECENT OVERDRAFT FOR $922.17 HAS NOT BEEN PROCESSED  ... CORRECTLY.,negative,banking,2025-07-09 16:18:36.684301,MY RECENT OVERDRAFT FOR $922.17 HAS NOT BEEN PROCESSED . CORRECTLY.,"['recent', 'overdraft', '922.17', 'processed', 'correctly']",recent overdraft 922.17 processed correctly
I would like to inquire abo ... ut the overdraft on my savings account.,neutral,banking,2025-07-09 04:44:48.805817,I would like to inquire abo . ut the overdraft on my savings account.,"['would', 'like', 'inquire', 'abo', 'ut', 'overdraft', 'saving', 'account']",would like inquire abo ut overdraft saving account
[REF-7751] There is a pending hold on my fraud that needs to be denied.,negative,banking,2025-07-10 04:10:00.927332,[REF-7751] There is a pending hold on my fraud that needs to be denied.,"['ref-7751', 'pending', 'hold', 'fraud', 'need', 'denied']",ref-7751 pending hold fraud need denied
My recent loan for $1055.58 has not been processed correctly.,negative,banking,2025-07-09 16:36:13.048847,My recent loan for $1055.58 has not been processed correctly.,"['recent', 'loan', '1055.58', 'processed', 'correctly']",recent loan 1055.58 processed correctly
There is a high-value hold on my payment that needs to be withdrew.,positive,banking,2025-07-09 06:19:25.170362,There is a high-value hold on my payment that needs to be withdrew.,"['high-value', 'hold', 'payment', 'need', 'withdrew']",high-value hold payment need withdrew
The balance was approved due to insufficient funds.,positive,banking,2025-07-09 11:31:37.291877,The balance was approved due to insufficient funds.,"['balance', 'approved', 'due', 'insufficient', 'fund']",balance approved due insufficient fund
I would like to inquire about the account on my savings account.,negative,banking,2025-07-10 00:30:49.413393,I would like to inquire about the account on my savings account.,"['would', 'like', 'inquire', 'account', 'saving', 'account']",would like inquire account saving account
