text,label,domain,timestamp
My recent payment for $1046.1 has not been processed correctly.,neutral,banking,2025-07-09 00:44:58.497028
[REF-9617] My recent mortgage for $3830.51 has not been processed correctly.,negative,banking,2025-07-09 19:57:10.618543
I am writing to report a suspicious issue with my fraud.,negative,banking,2025-07-09 01:11:22.740058
I would like to inquire about the deposit on my savings account.!!!,positive,banking,2025-07-09 21:18:34.861574
I would like to inquire about the deposit on my savings account....,positive,banking,2025-07-09 11:59:46.983089
A urgent transaction of $2241.65 on my fraud was investigated.!!!,negative,banking,2025-07-09 16:24:59.104604
I am writing to report a suspicious issue with my account.,neutral,banking,2025-07-09 20:56:11.226119
A  like urgent transaction of $746.75 on my account was investigated.,positive,banking,2025-07-09 05:48:23.347634
There is a suspicious hold on my interest rate that needs to be disputed.,neutral,banking,2025-07-09 11:59:35.469150
A unauthorized transaction of $1974.07 on my interest rate was flagged.,negative,banking,2025-07-09 14:28:47.590665
The statement was deposited due to insufficient funds.,positive,banking,2025-07-09 22:01:59.712180
The statement was disputed due to insufficient funds.,neutral,banking,2025-07-09 19:23:11.833695
A high-value transaction of $1979.1 on my balance was denied.,negative,banking,2025-07-09 19:04:23.955210
My recent statement for $4242.36 has not been processed correctly. ?!?,negative,banking,2025-07-09 02:51:36.076725
I would like to inquire about the loan on my savings account.,neutral,banking,2025-07-10 01:15:48.198241
The loan was flagged due to insufficient funds....,negative,banking,2025-07-09 16:50:00.319756
I am writing to report a high-value issue with my deposit.,positive,banking,2025-07-09 15:08:12.441271
My recent deposit for $4858.07 has not been processed correctly.,positive,banking,2025-07-09 05:54:24.562786
MY RECENT OVERDRAFT FOR $922.17 HAS NOT BEEN PROCESSED  ... CORRECTLY.,negative,banking,2025-07-09 16:18:36.684301
I would like to inquire abo ... ut the overdraft on my savings account.,neutral,banking,2025-07-09 04:44:48.805817
[REF-7751] There is a pending hold on my fraud that needs to be denied.,negative,banking,2025-07-10 04:10:00.927332
My recent loan for $1055.58 has not been processed correctly.,negative,banking,2025-07-09 16:36:13.048847
There is a high-value hold on my payment that needs to be withdrew.,positive,banking,2025-07-09 06:19:25.170362
The balance was approved due to insufficient funds.,positive,banking,2025-07-09 11:31:37.291877
I would like to inquire about the account on my savings account.,negative,banking,2025-07-10 00:30:49.413393
I would like to inquire about the statement on my savings account.,neutral,banking,2025-07-09 07:07:01.534908
I would like to inquire about the credit card on my savings account.,negative,banking,2025-07-09 08:05:13.656423
A declined transaction of $2341.66 on my transaction was withdrew.,neutral,banking,2025-07-09 06:51:25.777938
I am writing to report a high-value issue with my interest rate.!!!,neutral,banking,2025-07-09 17:09:37.899453
My recent account for $3605.25 has not been processed correctly.,negative,banking,2025-07-09 07:21:50.020968
I am writing to report a unauthorized issue with my mortgage....,negative,banking,2025-07-09 18:43:02.142484
The account was withdrew due to insufficient funds.,neutral,banking,2025-07-10 04:09:14.263999
A declined transaction of $4718.47 on my statement was denied.,negative,banking,2025-07-09 23:56:26.385514
